time_s,strain_1,strain_2,strain_3,strain_4,strain_5,strain_6,strain_7,strain_8,strain_9,strain_10,strain_11,strain_12,strain_13,strain_14,strain_15,strain_16
0.0,-4.333638627378642e-09,2.877998632935221e-09,3.1968009021700734e-09,1.5707119640582154e-08,4.399089403535642e-09,-2.390382995195338e-09,-2.5937481479274327e-09,1.5692870584234605e-08,5.464225177191628e-12,-3.057712231922801e-09,3.3450700602028005e-09,-9.912997694686678e-11,-7.004362795063493e-11,-2.9584014880385266e-10,-4.4195384279221713e-10,-2.6225415434133103e-08
25.0,-0.0070023162729931105,0.005140211354854944,0.005268691775169433,0.025931554273984837,0.007126035707850408,-0.00402447232375977,-0.0041812311041302536,0.02588819859762032,3.8675668388420204e-05,-0.005349036045560674,0.005526537846198966,-0.00014966238029242277,-0.00012650993241833787,-0.0007375331917486664,-0.0008048159984865966,-0.043249343116569826
50.0,-0.014320786109275332,0.010512502823141263,0.010775264286006017,0.053033914816277186,0.01457381090513411,-0.008230649093593344,-0.008551244179362335,0.05294524594790238,7.90975568961209e-05,-0.010939580556271804,0.011302598152562716,-0.0003060819885307669,-0.0002587317785469406,-0.0015083660679093861,-0.0016459693811380802,-0.08845138836233607
75.0,-0.02163925594555729,0.015884794291427577,0.016281836796842745,0.08013627535856947,0.022021586102417785,-0.012436825863426969,-0.012921257254593876,0.08000229329818437,0.00011951944540367678,-0.016530125066982954,0.01707865845892653,-0.00046250159676909566,-0.00039095362467742717,-0.002279198944067831,-0.0024871227637992053,-0.13365343360809362
100.0,-0.028957725781839434,0.02125708575971384,0.021788409307679345,0.10723863590086172,0.029469361299701444,-0.016643002633260476,-0.01729127032982601,0.10705934064846633,0.00015994133391136314,-0.0221206695776941,0.022854718765290254,-0.0006189212050075008,-0.0005231754708042237,-0.003050031820224001,-0.0033282761464579528,-0.17885547885384703
100.0,-0.028957725781839434,0.02125708575971384,0.021788409307679345,0.10723863590086172,0.029469361299701444,-0.016643002633260476,-0.01729127032982601,0.10705934064846633,0.00015994133391136314,-0.0221206695776941,0.022854718765290254,-0.0006189212050075008,-0.0005231754708042237,-0.003050031820224001,-0.0033282761464579528,-0.17885547885384703
7444.897959183673,-1.8758688311336205,1.4934639083792747,1.4864882892564801,6.827399885125829,1.9625168164431368,-1.056797131694815,-1.0790161916369785,6.783286434248531,0.01875882881632838,-1.4837983872492921,1.509529682289794,-0.04545039962421072,-0.07725193561875834,-0.30689149499279866,-0.30925132768215374,-11.329549509437737
14789.795918367347,-3.537606815229762,2.982058017234668,2.9398125675618108,12.761919291938106,3.7771709591034863,-1.9175896545753328,-1.928521601904714,12.559494138413282,0.05937576069870523,-2.829043431480218,2.887268706507971,-0.1184873331373453,-0.20747249357892766,-0.7722042051559599,-0.7801754221725803,-21.04402046773446
22134.69387755102,-5.100730342148256,4.481789688634511,4.388412794249296,18.31505466112333,5.503718704186997,-2.6746027078956756,-2.6340727134583615,17.842137020832876,0.12411084184758392,-4.102291075152486,4.207578360106879,-0.221448629299424,-0.34581055093775176,-1.3331510626828416,-1.3658276605124755,-30.02041159940875
29479.591836734693,-6.622623025675894,5.985516630275204,5.834404600293673,23.71096216564056,7.191641486672382,-3.388357217641751,-3.2781072276745276,22.918422573414524,0.19957968551394922,-5.344907510088946,5.5037975306698845,-0.33752139585854163,-0.48609096069796015,-1.9335059604519562,-2.000055683403194,-38.69065146432845
36824.489795918365,-8.109436433145987,7.485363791932184,7.2748394871290145,28.982338067537068,8.843388504726935,-4.070089966878485,-3.8673490261993044,27.829412602355557,0.28638036937715944,-6.559854628784696,6.7794870764201125,-0.46377838099804064,-0.6254079910406,-2.55804354621167,-2.6752309652843747,-47.12030402573234
44169.38775510204,-9.517498278085906,8.976501003717608,8.702799314050102,33.97414553493435,10.413922387995584,-4.67993515290147,-4.333583383838301,32.369320835178755,0.39862057828593195,-7.712685246429391,8.009088440945817,-0.6128985268549393,-0.7625622733779557,-3.236870292960264,-3.442331195144819,-55.00984777629589
51514.28571428571,-10.925560123025912,10.46763821550303,10.130759140971188,38.965953002331645,11.984456271264241,-5.289780338924447,-4.7998177414772245,36.909229068001956,0.5108607871946969,-8.865515864074098,9.2386898054715,-0.7620186727118511,-0.8997165557149938,-3.9156970397099164,-4.209431425006388,-62.89939152686453
58859.183673469386,-12.333621967965827,11.958775427288462,11.55871896789227,43.95776046972893,13.554990154532893,-5.899625524947428,-5.266052099116162,41.44913730082515,0.6231009961034786,-10.018346481718812,10.46829116999722,-0.9111388185687462,-1.036870838051337,-4.594523786460204,-4.976531654866951,-70.78893527743084
66204.08163265306,-13.741683812905737,13.449912639073888,12.986678794813361,48.94956793712622,15.12552403780155,-6.509470710970431,-5.732286456755224,45.98904553364836,0.7353412050122408,-11.171177099363511,11.697892534522904,-1.0602589644256515,-1.174025120388322,-5.27335053320901,-5.743631884726879,-78.67847902799588
73548.97959183673,-15.102306141350741,14.926225174176661,14.404574586475023,53.78235436650437,16.648961310556963,-7.083702159325551,-6.126001875902644,50.326663319676236,0.864044783582099,-12.285954064880166,12.900012273521774,-1.2188431974684688,-1.3115172930122019,-5.971473154597902,-6.563298779101407,-86.27274177936522
80893.8775510204,-16.43167886458012,16.392772321096555,15.815840944450017,58.51038963005636,18.141374858909757,-7.634473941044151,-6.471947242445201,54.531027289723106,1.003593198702673,-13.375664130607857,14.08402917311896,-1.3836616632804515,-1.4492320424838472,-6.6823064549611475,-7.4175926603168385,-93.6724954941026
88238.77551020408,-17.761051587809483,17.859319468016462,17.227107302425004,63.23842489360834,19.63378840726254,-8.185245722762664,-6.817892608987864,58.73539125976999,1.1431416138232295,-14.46537419633559,15.26804607271618,-1.5484801290924455,-1.5869467919539042,-7.393139755325028,-8.271886541535023,-101.07224920883152
95583.67346938775,-19.090424311038817,19.325866614936345,18.638373660400003,67.96646015716031,21.12620195561533,-8.736017504481184,-7.16383797553044,62.93975522981685,1.2826900289437952,-15.555084262063325,16.452062972313396,-1.7132985949044228,-1.7246615414239612,-8.10397305569018,-9.126180422752572,-108.47200292357061
102928.57142857142,-20.419797034268182,20.792413761856224,20.049640018374983,72.69449542071229,22.618615503968115,-9.286789286199712,-7.509783342072958,67.14411919986374,1.4222384440643634,-16.64479432779104,17.636079871910646,-1.878117060716409,-1.8623762908938064,-8.814806356055753,-9.980474303967632,-115.87175663830249
