channel,obs_rms,obs_meanabs
eXX_S1,49.30229938834002,45.03849260830079
eXX_S2,55.79971589059875,50.55624682430448
eXX_S3,54.70379069097079,49.50031709026548
eXX_S4,177.58566428581912,162.08725069541887
eYY_S1,56.77548607920637,51.704885451933535
eYY_S2,20.239748676086375,18.63337083806991
eYY_S3,10.464476243885457,9.789904056649311
eYY_S4,157.07226926103795,143.83271060048355
eXY_S1,6.268348602741244,5.4784872786323495
eXY_S2,40.694761805310826,37.137468483523065
eXY_S3,44.81261636671011,40.77828759901184
eXY_S4,6.242788517274448,5.569360797345181
eZZ_S1,6.354617823699034,5.630810669563321
eZZ_S2,27.880459362002494,24.935814262361728
eZZ_S3,36.18042039122046,32.02980036229865
eZZ_S4,277.93213707968863,254.02988334568346
