Parameter,Mean,Std,MAP,Median,2.5%,97.5%,Mean_a,Mean_b,Mean_c
s,174.9964969164552,0.28265096036113974,175.0015201203319,175.00055488265195,174.99614940164204,175.0013792372592,174.9964969164552,24.999499559493596,124.99749779746799
E,9999348265.331076,154441945.90844977,9204490836.181814,10027679132.532585,9246774668.901382,10070003443.473446,,,
theta_deg,-14.8092540076593,7.652264707623787,-31.599133160402967,-13.816334310930552,-30.515643118497017,-3.0790396541809497,,,
sigma,0.7275436861380212,0.4528658957914521,0.44584986931159826,0.6803489915221022,0.635802891824985,1.4212288783470732,,,
