strain_rmse,E,theta_deg,a_fixed,b_fixed,c_fixed,x0_prime,y0_prime,h,pmax,tpeak,d,nu,alpha
99.34878896658313,5617638974.361076,-80.31221661559992,105.08996819315284,132.96731481440136,4.342212120615576,956.0953710556,1470.4670731657234,402.49074463426217,2659263.684779006,546690.6626595021,0.8694556828442978,0.19899292021375928,1.1112719322535152
130.17884179536497,2103222225.3132162,43.46406940224773,207.4850511474202,467.33326633632515,5.406255583521958,911.169445539967,66.92368765780202,379.1579647864379,697711.9797222337,392463.3283461428,0.9740869609229799,0.18686759748569592,0.33429912008982304
130.8038304272366,4033499216.6784563,41.08379907298709,279.65012294338584,331.4903025809588,18.425328878404443,1138.2870297888362,-972.3530870620418,708.0501860773238,2392255.8091137614,305960.0882291482,1.2955653297751968,0.32304434256874726,0.6074603798119591
100.14117468235477,4452815630.227227,-77.13237480778855,195.8096025377645,157.0578798333279,15.53430927596932,-1255.5400122884055,-644.6608243473434,266.6469765755238,297655.76481976814,392035.7255388867,0.8024688016398642,0.17553806457849552,0.567260004713143
813.1475914629987,523858319.6998371,-21.407805393152557,193.96827100924165,242.28444707732757,16.86694459886282,278.52569488489735,-806.2853287929441,679.4896500750492,1698460.2509090519,495131.6399914143,0.9491336294900782,0.2374880723114518,0.7003082666407265
4077.1188904264186,666764659.3990912,-5.516858129766732,205.8896005395264,475.75103945483386,9.271195523144248,-174.7381797308899,70.21485874497262,470.91361902011374,1936387.1565537418,224337.74137156087,0.8325757468048359,0.27202896566034646,1.0341239430268705
95.35278467069759,3723727403.25685,-35.495616109970825,51.472508329367436,390.4155365656807,2.473943433772952,-159.6814375495228,-673.6931607455715,694.934718434386,3051427.586750252,322090.3946773311,1.4466524333893864,0.21750581012206843,1.0996276260930338
97.38924322983854,6491326985.443355,27.95133186199422,107.17586369390135,111.95350913402078,9.063051639613214,-1332.0697595411211,1297.017494601811,351.9846071383526,290883.9848369816,416637.85325601604,0.7432093800280292,0.3217194843118708,0.4743981205078347
118.14932303472058,3202652745.4385552,25.29178862986447,282.76983740294,167.8104599406949,14.073869858055092,-1340.6816122410241,835.8968279306082,411.09792717698497,931235.3137112219,287062.85561185476,0.6559767477513477,0.21571101749622948,0.9081360049454251
129.95339672520487,4585365501.43727,44.93575888036355,123.73857135651005,482.2491777687637,11.32617241340201,496.52525009056853,656.130036778663,338.0794230040528,635073.3546540097,378403.5826583061,0.8829003001215644,0.20440895063223768,0.4929161090662943
97.7791737984259,4279408153.9417286,28.734902713565106,107.18861335556682,148.2882038886803,19.14308212029729,654.0291239449243,-1609.0571576320433,767.9072926511811,225488.49887566594,300884.7517955472,1.475986227301904,0.1660775432779606,1.140527076051515
236.2785211241006,1585080480.285225,-57.73660600874989,246.16836832480607,452.9408254754425,9.753952195373651,-1723.6925248515088,-635.7825786237684,267.07133838308056,1247521.0553933044,455994.88765886787,0.4978241982900289,0.2804037676881889,1.2103809887585832
100.58419215395607,3996040689.3832564,-52.720279080204065,280.6785611599444,475.63547492416933,3.5632074244607237,1259.3478809726362,-715.9952860717452,325.57705046662124,554230.070699747,495383.27717014524,0.23266377162826032,0.3026303487212675,0.5500338118267409
139.5090600952951,3640878424.421904,-64.25681297218772,213.16744928061016,256.0036670844502,8.482772875416781,930.3877483630963,-137.97165752665728,617.5779535472047,2545967.2312797178,438519.5899479282,1.5420863421556485,0.26017560948433216,0.5302520261801691
97.63113415042595,4564098822.00262,-45.979743450022525,70.83175430263526,390.36294128455364,6.02545342152117,-770.5495260865514,1695.6196605167306,466.75011853746855,1523936.2874800432,558768.3602426213,1.2850995674207708,0.3218964175313368,0.769622445375491
105.09855143239986,2093776802.9602022,-78.18501302983475,69.95350476903634,111.64529886020985,6.11762955921612,835.8233639631817,-932.9219055306186,477.7563953402092,1574409.6049227181,318476.2203461276,0.36551635400986726,0.20360615747530858,1.138260205971247
100.09307121485254,7955542060.352654,-23.278635834446874,165.4377271908911,200.74484914821244,7.943335394999904,523.3689848608337,819.1703518375521,423.4624121636199,635060.2577166901,474959.8251887124,0.7590864960488423,0.3332590551151272,0.7129607447589887
611.7156676609776,707862552.4011221,40.704955168526396,296.4454725701214,259.8628220907197,19.100338387590764,-1293.7892502005686,-990.6540406028089,436.1472761336772,1417838.1081354206,550453.087605658,1.5587646549368266,0.2520424459150406,0.9888745062603364
97.94866304752044,5207142309.438943,64.8958957888446,76.94538206955619,302.753672962775,16.358258729833217,824.9227332002638,930.4882046402963,767.6911660252254,284911.4475878473,238398.24138183103,0.32999384507999296,0.26617636276496226,0.7336037915004014
304.0945635715747,980970574.3393655,-39.747037840785985,147.6900635863703,277.6420486492609,15.35903895009009,-163.02189345486545,1132.3203729239513,539.2642325051986,1271549.6051875018,513684.0404879781,0.37956782002358513,0.3278578063572461,0.96647715919148
97.84399202630647,7650329390.181821,-52.22826075507504,108.1864260177847,255.45144998302163,3.8263604277412515,-1719.3870062384754,-508.99030300501704,648.4188516467332,2866955.101647779,288443.2701936682,1.5164555368855115,0.16584764904723906,0.3951598345995305
97.58664736292876,5790354407.622932,-77.79548781731387,292.66184848727,173.39441462465604,3.445752478208775,804.9262662915298,-264.63021567014016,725.6450716239106,1677375.6218074802,199806.72437243196,0.34501468479733344,0.16987710331679506,0.4940955137988544
169.2504059933604,2529261271.6690817,-76.43188191211055,269.7313502823348,352.9817626293066,9.435569297046339,1256.1429242012377,390.8170733061211,612.4745820946014,2337936.685078832,369522.188953628,0.5397463597775196,0.32735171577674665,0.6743228934327186
367.82495220660684,3775956613.9959545,-40.270778726935184,188.4111487128656,292.16433430450877,9.202941923360852,-633.2431142468897,148.59802173842127,457.1618106865374,2537296.96761765,257008.58483105537,1.1806926801838022,0.19173360211808013,1.2147438082088375
122.86529507589933,3387437844.244962,-31.71957323894278,275.2440822203623,71.31924184400489,19.575063540788165,1359.971712831994,574.2736444587204,554.3634086158959,1773058.5442061524,229476.9364225503,0.23617319689319313,0.2881290238148734,1.239648970296262
265.7532173842151,4326869552.861961,-89.81667918853339,257.21048198899666,423.7371914764378,7.393725912936196,497.89173911182525,-1237.5542393054684,343.7496116512468,2334297.6123104924,397237.7097990561,0.9833884045233937,0.2547411698375852,1.2228489181245028
100.57274594351873,6415191347.323972,71.84220737127933,122.90339517920138,490.82477854880057,16.55677745374397,-1512.102615239307,-1426.2615629667685,358.4084386961659,1209123.920655957,282978.60270570975,0.17776021798015926,0.2390026259045372,0.5720113856076562
