parameter,label,value,value_plot,strain_rmse,volume_rmse,baseline_value,baseline_value_plot
c_fixed,Semi-axis c (m),6.9375,6.9375,138.29352032824303,,2.5,2.5
c_fixed,Semi-axis c (m),8.125,8.125,173.03467579987972,,2.5,2.5
c_fixed,Semi-axis c (m),9.3125,9.3125,208.4195142579057,,2.5,2.5
c_fixed,Semi-axis c (m),10.5,10.5,244.17192172417933,,2.5,2.5
c_fixed,Semi-axis c (m),11.6875,11.6875,280.154789330787,,2.5,2.5
c_fixed,Semi-axis c (m),12.875,12.875,316.2930579226945,,2.5,2.5
c_fixed,Semi-axis c (m),14.0625,14.0625,352.54253066767416,,2.5,2.5
c_fixed,Semi-axis c (m),15.25,15.25,388.8757026314821,,2.5,2.5
c_fixed,Semi-axis c (m),16.4375,16.4375,425.2747158368191,,2.5,2.5
c_fixed,Semi-axis c (m),17.625,17.625,461.7275949649811,,2.5,2.5
c_fixed,Semi-axis c (m),18.8125,18.8125,498.2261140814443,,2.5,2.5
c_fixed,Semi-axis c (m),20.0,20.0,534.7645271548471,,2.5,2.5
x0_prime,Center x₀′ (m),-1857.0,-1857.0,99.20931939520915,,-125.0,-125.0
x0_prime,Center x₀′ (m),-1640.5,-1640.5,99.8978363090181,,-125.0,-125.0
x0_prime,Center x₀′ (m),-1424.0,-1424.0,100.87406877392058,,-125.0,-125.0
x0_prime,Center x₀′ (m),-1207.5,-1207.5,102.15683080306367,,-125.0,-125.0
x0_prime,Center x₀′ (m),-991.0,-991.0,103.39338688121109,,-125.0,-125.0
x0_prime,Center x₀′ (m),-774.5,-774.5,102.90704185524837,,-125.0,-125.0
x0_prime,Center x₀′ (m),-558.0,-558.0,96.27741501667906,,-125.0,-125.0
x0_prime,Center x₀′ (m),-341.5,-341.5,77.39986306786253,,-125.0,-125.0
x0_prime,Center x₀′ (m),-125.0,-125.0,49.20049579884035,,-125.0,-125.0
x0_prime,Center x₀′ (m),91.5,91.5,45.479947743153005,,-125.0,-125.0
x0_prime,Center x₀′ (m),308.0,308.0,85.3803268249737,,-125.0,-125.0
x0_prime,Center x₀′ (m),524.5,524.5,116.55791416886426,,-125.0,-125.0
x0_prime,Center x₀′ (m),741.0,741.0,108.18067591067667,,-125.0,-125.0
x0_prime,Center x₀′ (m),957.5,957.5,100.19394802366597,,-125.0,-125.0
x0_prime,Center x₀′ (m),1174.0,1174.0,98.72143580195248,,-125.0,-125.0
x0_prime,Center x₀′ (m),1390.5,1390.5,98.23126671340236,,-125.0,-125.0
x0_prime,Center x₀′ (m),1607.0,1607.0,97.9782001890664,,-125.0,-125.0
y0_prime,Center y₀′ (m),-1728.0,-1728.0,97.96974800591846,,4.0,4.0
y0_prime,Center y₀′ (m),-1511.5,-1511.5,98.18388884899171,,4.0,4.0
y0_prime,Center y₀′ (m),-1295.0,-1295.0,98.45891510467935,,4.0,4.0
y0_prime,Center y₀′ (m),-1078.5,-1078.5,98.62227629046957,,4.0,4.0
y0_prime,Center y₀′ (m),-862.0,-862.0,99.16709536573384,,4.0,4.0
y0_prime,Center y₀′ (m),-645.5,-645.5,103.30228955031652,,4.0,4.0
