a,b,c,pmax,alpha,E,nu,h,theta_deg,x0_prime,y0_prime,time
,,,,,,,,,,,0.0
0.03918675168988057,0.03172924312819311,4.228076483498256,0.01903450162171385,0.023045204676955484,0.19466786223993265,0.0003641138961997756,0.40852854396538585,0.004168272772359941,0.260088819102327,0.08187360990884716,0.631578947368421
0.03918675168988057,0.03172924312819311,4.228076483498256,0.01903450162171385,0.023045204676955484,0.19466786223993265,0.0003641138961997756,0.40852854396538585,0.004168272772359941,0.260088819102327,0.08187360990884716,1.263157894736842
0.03918675168988055,0.031729243128193134,4.228076483498256,0.019034501621713832,0.023045204676955505,0.19466786223993263,0.00036411389619977585,0.4085285439653859,0.004168272772359935,0.26008881910232734,0.08187360990884716,1.894736842105263
0.03918675168988057,0.03172924312819311,4.228076483498256,0.01903450162171385,0.023045204676955484,0.19466786223993265,0.0003641138961997756,0.40852854396538585,0.004168272772359941,0.260088819102327,0.08187360990884716,2.526315789473684
0.03918675168988055,0.03172924312819309,4.22807648349826,0.01903450162171384,0.023045204676955512,0.19466786223993257,0.0003641138961997765,0.4085285439653857,0.0041682727723599275,0.2600888191023271,0.08187360990884712,3.1578947368421053
0.03918675168988055,0.031729243128193134,4.228076483498256,0.019034501621713832,0.023045204676955505,0.19466786223993263,0.00036411389619977585,0.4085285439653859,0.004168272772359935,0.26008881910232734,0.08187360990884716,3.789473684210526
0.039186751689880533,0.03172924312819311,4.228076483498261,0.0190345016217138,0.023045204676955453,0.19466786223993254,0.0003641138961997743,0.40852854396538574,0.004168272772359935,0.26008881910232734,0.08187360990884716,4.421052631578947
0.03918675168988057,0.03172924312819311,4.228076483498256,0.01903450162171385,0.023045204676955484,0.19466786223993265,0.0003641138961997756,0.40852854396538585,0.004168272772359941,0.260088819102327,0.08187360990884716,5.052631578947368
0.03918675168988054,0.03172924312819314,4.228076483498261,0.019034501621713835,0.023045204676955474,0.19466786223993265,0.0003641138961997736,0.40852854396538585,0.0041682727723599275,0.26008881910232734,0.08187360990884719,5.684210526315789
0.03918675168988055,0.03172924312819309,4.22807648349826,0.01903450162171384,0.023045204676955512,0.19466786223993257,0.0003641138961997765,0.4085285439653857,0.0041682727723599275,0.2600888191023271,0.08187360990884712,6.315789473684211
0.03918675168988052,0.03172924312819313,4.22807648349826,0.019034501621713842,0.023045204676955477,0.19466786223993257,0.00036411389619977574,0.4085285439653858,0.0041682727723599275,0.2600888191023273,0.08187360990884714,6.947368421052631
0.03918675168988055,0.031729243128193134,4.228076483498256,0.019034501621713832,0.023045204676955505,0.19466786223993263,0.00036411389619977585,0.4085285439653859,0.004168272772359935,0.26008881910232734,0.08187360990884716,7.578947368421052
0.03918675168988052,0.03172924312819313,4.228076483498257,0.019034501621713825,0.023045204676955488,0.19466786223993257,0.00036411389619977515,0.40852854396538574,0.004168272772359917,0.2600888191023271,0.0818736099088471,8.210526315789473
0.03918675168988055,0.03172924312819315,4.228076483498257,0.01903450162171386,0.023045204676955512,0.19466786223993263,0.00036411389619977444,0.40852854396538596,0.004168272772359935,0.2600888191023272,0.08187360990884711,8.842105263157894
0.039186751689880506,0.03172924312819314,4.228076483498258,0.019034501621713797,0.023045204676955502,0.19466786223993252,0.0003641138961997744,0.40852854396538574,0.004168272772359909,0.2600888191023272,0.08187360990884715,9.473684210526315
0.03918675168988052,0.03172924312819312,4.2280764834982545,0.01903450162171383,0.023045204676955488,0.1946678622399326,0.0003641138961997748,0.40852854396538574,0.004168272772359934,0.26008881910232734,0.08187360990884712,10.105263157894736
0.039186751689880506,0.03172924312819315,4.228076483498255,0.019034501621713797,0.023045204676955467,0.19466786223993252,0.0003641138961997744,0.40852854396538574,0.00416827277235995,0.2600888191023271,0.08187360990884716,10.736842105263158
0.03918675168988056,0.03172924312819314,4.228076483498257,0.01903450162171384,0.023045204676955505,0.19466786223993263,0.0003641138961997754,0.4085285439653859,0.004168272772359943,0.2600888191023271,0.0818736099088472,11.368421052631579
0.039186751689880533,0.03172924312819313,4.228076483498261,0.0190345016217138,0.02304520467695549,0.1946678622399326,0.00036411389619977395,0.40852854396538596,0.004168272772359936,0.2600888191023272,0.08187360990884715,12.0
