a,b,c,pmax,alpha,E,nu,h,theta_deg,x0_prime,y0_prime,Epsilon_XX_nanostrain_peak_abs_max,Epsilon_XX_nanostrain_rms_avg,Epsilon_YY_nanostrain_peak_abs_max,Epsilon_YY_nanostrain_rms_avg,Epsilon_ZZ_nanostrain_peak_abs_max,Epsilon_ZZ_nanostrain_rms_avg,Epsilon_XY_nanostrain_peak_abs_max,Epsilon_XY_nanostrain_rms_avg,Epsilon_XZ_nanostrain_peak_abs_max,Epsilon_XZ_nanostrain_rms_avg,Epsilon_YZ_nanostrain_peak_abs_max,Epsilon_YZ_nanostrain_rms_avg
52.9296875,39.8828125,123.2421875,4636718.75,0.921875,67902343750.0,0.3294921875,1607.421875,-23.671875,316.40625,238.28125,5.3839735910970195,2.506804824088525,5.128736999079636,2.4416065546274903,8.66435241372717,3.115363432178065,0.4298749783163826,0.12983196960091742,0.8411276061670792,0.2671898160107894,2.3159821597678127,0.6583559770471867
234.5703125,39.8828125,123.2421875,4636718.75,0.921875,67902343750.0,0.3294921875,1607.421875,-23.671875,316.40625,238.28125,22.616036968600064,10.756596449448882,22.195388780704928,10.663588459203735,36.711077144942706,13.35871381488696,1.8852955865963752,0.5976673151283494,3.136062822924576,1.0234987267427347,9.719739246504858,2.765817701474787
52.9296875,83.4765625,123.2421875,4636718.75,0.921875,67902343750.0,0.3294921875,1607.421875,-23.671875,316.40625,238.28125,11.236242527710917,5.237322831293589,10.67797159559036,5.093337235695209,18.049987625944215,6.497644384632415,0.8934713096456894,0.2685262580322864,1.7657353776145137,0.5602340912183107,4.804542717397936,1.3659654535108416
52.9296875,39.8828125,269.7265625,4636718.75,0.921875,67902343750.0,0.3294921875,1607.421875,-23.671875,316.40625,238.28125,12.911117060826236,5.805568766475069,12.199264508600152,5.632453660930527,20.96361893592458,7.354344600326445,1.0252341002241012,0.31320865929691616,2.1480240165803695,0.6733616062232515,5.917341083611905,1.677977981411266
52.9296875,39.8828125,123.2421875,1519531.25,0.921875,67902343750.0,0.3294921875,1607.421875,-23.671875,316.40625,238.28125,1.7644193150267404,0.8215223896970819,1.6807739617876818,0.8001558127633478,2.8394550033191828,1.020957350562146,0.14087730965886508,0.04254813494082298,0.27565175972956507,0.08756262715096637,0.7589865713139673,0.21575440191352624
52.9296875,39.8828125,123.2421875,4636718.75,0.809375,67902343750.0,0.3294921875,1607.421875,-23.671875,316.40625,238.28125,4.726946305403825,2.2008896591150098,4.5028572297004255,2.1436477886390506,7.607007712390974,2.735183487912267,0.37741565892862067,0.1139880682258902,0.7384815254144864,0.23458360117557445,2.0333538284063173,0.5780142306956656
52.9296875,39.8828125,123.2421875,4636718.75,0.921875,57074218750.0,0.3294921875,1607.421875,-23.671875,316.40625,238.28125,6.405421458766648,2.982396020609871,6.101761361645425,2.9048283306474345,10.308153994101664,3.7064104128089315,0.5114308909775978,0.15446370047038174,1.0007063977826527,0.31788108765420253,2.755370466309212,0.7832593216762197
52.9296875,39.8828125,123.2421875,4636718.75,0.921875,67902343750.0,0.2533203125,1607.421875,-23.671875,316.40625,238.28125,6.848241403677271,3.3369599635954663,6.532468888589108,3.254950048507444,10.105719066428742,3.37550226557449,0.5855054566366242,0.17597231758729884,1.0301412734510078,0.3272312729964322,2.836417202170775,0.806298187821879
52.9296875,39.8828125,123.2421875,4636718.75,0.921875,67902343750.0,0.3294921875,869.140625,-23.671875,316.40625,238.28125,134.37041956762116,38.70941465611425,60.03708015760462,19.387140177699035,187.91477066633715,53.29432911165003,30.98979279284714,8.800705055733113,60.55921166696304,17.012615873554054,171.27144894359853,47.821378202826686
52.9296875,39.8828125,123.2421875,4636718.75,0.921875,67902343750.0,0.3294921875,1607.421875,3.515625,316.40625,238.28125,5.382848743303668,2.506471043235623,5.129152672218383,2.4417330355666422,8.663651341951807,3.1151767142848024,0.4295156982497254,0.12956843730592263,0.8425672085186489,0.2675423002186981,2.3171135760401183,0.6586704736762671
