strain_rmse,E,theta_deg,a_fixed,b_fixed,c_fixed,x0_prime,y0_prime,h,pmax,tpeak,d,nu,alpha
98.85404706009149,5617638974.361076,-80.31221661559992,106.44318473271336,54.749744855893574,13.518118021700607,1081.0953710556,1466.4670731657234,412.3610052302634,1495835.822688191,546690.6626595021,0.8694556828442978,0.19899292021375928,1.3066657557071526
99.31284348382898,2103222225.3132162,43.46406940224773,155.5928245507617,114.19258068201336,14.638163772128376,1036.169445539967,62.92368765780202,388.45603677786283,392462.98859375645,392463.3283461428,0.9740869609229799,0.18686759748569592,0.4163844084362555
100.64598792797318,4033499216.6784563,41.08379907298709,190.2320590128252,90.04272045883712,28.342451450952048,1263.2870297888362,-976.3530870620418,725.413665722007,1345643.8926264907,305960.0882291482,1.2955653297751968,0.32304434256874726,0.7293816852012031
98.29433152839378,4452815630.227227,-77.13237480778855,149.98860921812695,59.032511970369406,25.29927292207297,-1130.5400122884055,-648.6608243473434,273.18594717552554,167431.36771111956,392035.7255388867,0.8024688016398642,0.17553806457849552,0.6833187554004763
212.56387413206926,523858319.6998371,-21.407805393152557,149.10477008443598,74.183901702636,26.70204694617139,403.52569488489735,-810.2853287929441,696.1527411099021,955383.8911363416,495131.6399914143,0.9491336294900782,0.2374880723114518,0.8357698888591658
1432.1412869515564,666764659.3990912,-5.516858129766732,154.82700825897268,115.68907368085935,18.706521603309735,-49.7381797308899,66.21485874497262,482.46181037581357,1089217.7755614799,224337.74137156087,0.8325757468048359,0.27202896566034646,1.2182670180516222
96.83465278837633,3723727403.25685,-35.495616109970825,80.70680399809636,100.51831761167658,11.551519403971529,-34.6814375495228,-677.6931607455715,711.9765681156478,1716428.017547017,322090.3946773311,1.4466524333893864,0.21750581012206843,1.2933233215649342
97.3704551505126,6491326985.443355,27.95133186199422,107.44441457307265,51.01395717938147,18.487422778540225,-1207.0697595411211,1293.017494601811,360.6163082260226,163622.24147080214,416637.85325601604,0.7432093800280292,0.3217194843118708,0.5769145130818939
101.44662159058726,3202652745.4385552,25.29178862986447,191.72952195341122,60.94408176723465,23.76196827163694,-1215.6816122410241,831.8968279306082,421.17926128418264,523819.86396256235,287062.85561185476,0.6559767477513477,0.21571101749622948,1.0739058389999663
104.15633775768046,4585365501.43727,44.93575888036355,115.39451425112483,116.84429827000243,20.869655172002116,621.5252500905685,652.130036778663,346.37012794989687,357228.7619928805,378403.5826583061,0.8829003001215644,0.20440895063223768,0.5981330416384621
97.5036998949946,4279408153.9417286,28.734902713565106,107.45053441067208,57.47345846909872,29.097981179260305,779.0291239449243,-1613.0571576320433,786.7386451557569,126837.2806175621,300884.7517955472,1.475986227301904,0.1660775432779606,1.3401872746423609
122.28186981095048,1585080480.285225,-57.73660600874989,174.16081679590692,111.63392452896755,19.214686521445948,-1598.6925248515088,-639.7825786237684,273.62071558667117,701730.5936587338,455994.88765886787,0.4978241982900289,0.2804037676881889,1.4202282162858766
98.05438203036887,3996040689.3832564,-52.720279080204065,190.72570935677334,115.66852887540789,12.69811307837971,1384.3478809726362,-719.9952860717452,333.56116034995057,311754.4147686076,495383.27717014524,0.23266377162826032,0.3026303487212675,0.6635804093848072
99.46455102320813,3640878424.421904,-64.25681297218772,158.3203756546929,76.62287414834671,17.87660302675451,1055.3877483630963,-141.97165752665728,632.7227871144836,1432106.5675948414,438519.5899479282,1.5420863421556485,0.26017560948433216,0.6409137799981104
97.47247806707574,4564098822.00262,-45.979743450022525,89.99924206526492,100.5089673394762,15.289950970022284,-645.5495260865514,1691.6196605167306,478.1962085770434,857214.1617075243,558768.3602426213,1.2850995674207708,0.3218964175313368,0.9151923853260833
103.13416565356992,2093776802.9602022,-78.18501302983475,89.57768228913744,50.95916424181509,15.38697848338539,960.8233639631817,-936.9219055306186,489.4723917606959,885605.4027690289,318476.2203461276,0.36551635400986726,0.20360615747530858,1.3375898193420537
98.28767066063303,7955542060.352654,-23.278635834446874,135.41010905162773,66.79908429301554,17.3087740999999,648.3689848608337,815.1703518375521,433.84695992375345,357221.3949656382,474959.8251887124,0.7590864960488423,0.3332590551151272,0.8502675200363412
176.80643811653118,707862552.4011221,40.704955168526396,198.29382683365827,77.30894614946128,29.05298777641133,-1168.7892502005686,-994.6540406028089,446.84289418468927,797533.9358261741,550453.087605658,1.5587646549368266,0.2520424459150406,1.1664187050899686
97.54915361057797,5207142309.438943,64.8958957888446,92.93378339338696,84.93398630449333,26.166588136666547,949.9227332002638,926.4882046402963,786.5172184672572,160262.6892681641,238398.24138183103,0.32999384507999296,0.26617636276496226,0.8739210110942099
124.03749508519967,980970574.3393655,-39.747037840785985,126.89123052145774,80.4696975376464,25.114777842200095,-38.02189345486545,1128.3203729239513,552.4885825701064,715246.6529179699,513684.0404879781,0.37956782002358513,0.3278578063572461,1.1407550782402374
97.72640024547647,7650329390.181821,-52.22826075507504,107.92948448853666,76.52470221920385,12.975116239727633,-1594.3870062384754,-512.990303005017,664.3199950306109,1612662.2446768756,288443.2701936682,1.5164555368855115,0.16584764904723906,0.486120643811962
97.30246003536446,5790354407.622932,-77.79548781731387,196.47768727388961,61.93678482216107,12.574476292851342,929.9262662915298,-268.63021567014016,743.4400297754086,943523.7872667076,199806.72437243196,0.34501468479733344,0.16987710331679506,0.5994844428945206
103.19956325044336,2529261271.6690817,-76.43188191211055,185.47104813552073,93.86342446743228,18.879546628469832,1381.1429242012377,386.8170733061211,627.4942659365092,1315089.385356843,369522.188953628,0.5397463597775196,0.32735171577674665,0.8059949820583233
159.68189139889947,3775956613.9959545,-40.270778726935184,146.4373513821755,83.05143720969045,18.6346757088009,-508.2431142468897,144.59802173842127,468.372767127576,1427229.5442849281,257008.58483105537,1.1806926801838022,0.19173360211808013,1.4252272802392927
