a,b,c,pmax,alpha,E,nu,h,theta_deg,x0_prime,y0_prime,time
,,,,,,,,,,,0.0
0.00044942667157496714,0.0014694420623037842,-0.0010258579362315617,8.575083805594876e-05,-0.0009572599087042652,-0.004573821231861549,-0.00020061506038954115,-0.011271567152035046,-0.0006846608155086585,0.0010810026492606933,0.0019315536497293306,0.631578947368421
0.00044942667157496714,0.0014694420623037842,-0.0010258579362315617,8.575083805594876e-05,-0.0009572599087042652,-0.004573821231861549,-0.00020061506038954115,-0.011271567152035046,-0.0006846608155086585,0.0010810026492606933,0.0019315536497293306,1.263157894736842
0.0004494266715749685,0.001469442062303784,-0.0010258579362315589,8.575083805594999e-05,-0.0009572599087042639,-0.004573821231861549,-0.00020061506038953993,-0.011271567152035047,-0.0006846608155086587,0.0010810026492606936,0.0019315536497293323,1.894736842105263
0.00044942667157496714,0.0014694420623037842,-0.0010258579362315617,8.575083805594876e-05,-0.0009572599087042652,-0.004573821231861549,-0.00020061506038954115,-0.011271567152035046,-0.0006846608155086585,0.0010810026492606933,0.0019315536497293306,2.526315789473684
0.0004494266715749681,0.0014694420623037844,-0.0010258579362315585,8.575083805594988e-05,-0.0009572599087042646,-0.0045738212318615495,-0.00020061506038953825,-0.011271567152035051,-0.0006846608155086582,0.0010810026492606931,0.001931553649729331,3.1578947368421053
0.0004494266715749685,0.001469442062303784,-0.0010258579362315589,8.575083805594999e-05,-0.0009572599087042639,-0.004573821231861549,-0.00020061506038953993,-0.011271567152035047,-0.0006846608155086587,0.0010810026492606936,0.0019315536497293323,3.789473684210526
0.000449426671574968,0.0014694420623037844,-0.0010258579362315587,8.57508380559495e-05,-0.0009572599087042661,-0.00457382123186155,-0.00020061506038954034,-0.01127156715203505,-0.0006846608155086583,0.0010810026492606942,0.0019315536497293317,4.421052631578947
0.00044942667157496714,0.0014694420623037842,-0.0010258579362315617,8.575083805594876e-05,-0.0009572599087042652,-0.004573821231861549,-0.00020061506038954115,-0.011271567152035046,-0.0006846608155086585,0.0010810026492606933,0.0019315536497293306,5.052631578947368
0.0004494266715749689,0.0014694420623037855,-0.0010258579362315578,8.575083805595045e-05,-0.0009572599087042634,-0.004573821231861548,-0.000200615060389539,-0.01127156715203505,-0.0006846608155086576,0.0010810026492606946,0.0019315536497293328,5.684210526315789
0.0004494266715749681,0.0014694420623037844,-0.0010258579362315585,8.575083805594988e-05,-0.0009572599087042646,-0.0045738212318615495,-0.00020061506038953825,-0.011271567152035051,-0.0006846608155086582,0.0010810026492606931,0.001931553649729331,6.315789473684211
0.00044942667157496903,0.001469442062303785,-0.0010258579362315585,8.575083805594968e-05,-0.0009572599087042639,-0.0045738212318615495,-0.0002006150603895395,-0.01127156715203505,-0.0006846608155086582,0.0010810026492606949,0.0019315536497293332,6.947368421052631
0.0004494266715749685,0.001469442062303784,-0.0010258579362315589,8.575083805594999e-05,-0.0009572599087042639,-0.004573821231861549,-0.00020061506038953993,-0.011271567152035047,-0.0006846608155086587,0.0010810026492606936,0.0019315536497293323,7.578947368421052
0.0004494266715749667,0.0014694420623037837,-0.0010258579362315582,8.575083805595034e-05,-0.0009572599087042644,-0.004573821231861549,-0.00020061506038954028,-0.011271567152035046,-0.0006846608155086588,0.0010810026492606916,0.0019315536497293306,8.210526315789473
0.00044942667157496735,0.0014694420623037846,-0.0010258579362315595,8.575083805594998e-05,-0.0009572599087042651,-0.00457382123186155,-0.0002006150603895391,-0.011271567152035053,-0.0006846608155086583,0.0010810026492606946,0.0019315536497293315,8.842105263157894
0.0004494266715749678,0.0014694420623037857,-0.001025857936231558,8.575083805595059e-05,-0.0009572599087042648,-0.00457382123186155,-0.00020061506038953955,-0.011271567152035047,-0.0006846608155086586,0.0010810026492606931,0.001931553649729331,9.473684210526315
0.00044942667157496795,0.0014694420623037842,-0.0010258579362315595,8.575083805595022e-05,-0.0009572599087042643,-0.004573821231861551,-0.0002006150603895395,-0.011271567152035053,-0.0006846608155086577,0.0010810026492606946,0.0019315536497293323,10.105263157894736
0.00044942667157496665,0.0014694420623037855,-0.001025857936231559,8.575083805594968e-05,-0.0009572599087042652,-0.00457382123186155,-0.00020061506038954004,-0.011271567152035051,-0.000684660815508659,0.0010810026492606942,0.0019315536497293325,10.736842105263158
0.0004494266715749684,0.0014694420623037852,-0.001025857936231559,8.575083805594851e-05,-0.0009572599087042659,-0.0045738212318615495,-0.00020061506038954047,-0.01127156715203505,-0.00068466081550866,0.0010810026492606933,0.0019315536497293319,11.368421052631579
0.0004494266715749694,0.001469442062303785,-0.00102585793623156,8.575083805595059e-05,-0.000957259908704264,-0.004573821231861549,-0.00020061506038953925,-0.011271567152035051,-0.0006846608155086581,0.0010810026492606938,0.001931553649729333,12.0
