a,b,c,pmax,alpha,E,nu,h,theta_deg,x0_prime,y0_prime,time
,,,,,,,,,,,0.0
0.30918778443964756,0.11185692744438322,5.303086456268812,0.0654704031139314,0.07312162731302653,0.5185012704623218,0.0019004391555667716,0.851617740249078,0.0004892667238788379,0.42726549134313824,0.26670396533043306,0.631578947368421
0.30918778443964756,0.11185692744438322,5.303086456268812,0.0654704031139314,0.07312162731302653,0.5185012704623218,0.0019004391555667716,0.851617740249078,0.0004892667238788379,0.42726549134313824,0.26670396533043306,1.263157894736842
0.3091877844396476,0.11185692744438311,5.303086456268812,0.06547040311393133,0.0731216273130265,0.5185012704623216,0.0019004391555667813,0.8516177402490781,0.0004892667238788346,0.42726549134313857,0.26670396533043295,1.894736842105263
0.30918778443964756,0.11185692744438322,5.303086456268812,0.0654704031139314,0.07312162731302653,0.5185012704623218,0.0019004391555667716,0.851617740249078,0.0004892667238788379,0.42726549134313824,0.26670396533043306,2.526315789473684
0.3091877844396476,0.11185692744438322,5.303086456268811,0.06547040311393128,0.07312162731302653,0.5185012704623216,0.0019004391555667844,0.8516177402490781,0.0004892667238788339,0.4272654913431384,0.26670396533043306,3.1578947368421053
0.3091877844396476,0.11185692744438311,5.303086456268812,0.06547040311393133,0.0731216273130265,0.5185012704623216,0.0019004391555667813,0.8516177402490781,0.0004892667238788346,0.42726549134313857,0.26670396533043295,3.789473684210526
0.30918778443964745,0.11185692744438328,5.3030864562688125,0.06547040311393126,0.07312162731302642,0.5185012704623218,0.0019004391555667748,0.8516177402490779,0.0004892667238788304,0.42726549134313835,0.26670396533043295,4.421052631578947
0.30918778443964756,0.11185692744438322,5.303086456268812,0.0654704031139314,0.07312162731302653,0.5185012704623218,0.0019004391555667716,0.851617740249078,0.0004892667238788379,0.42726549134313824,0.26670396533043306,5.052631578947368
0.3091877844396475,0.1118569274443832,5.303086456268813,0.06547040311393137,0.07312162731302646,0.5185012704623218,0.0019004391555667694,0.8516177402490781,0.0004892667238788348,0.42726549134313835,0.2667039653304329,5.684210526315789
0.3091877844396476,0.11185692744438322,5.303086456268811,0.06547040311393128,0.07312162731302653,0.5185012704623216,0.0019004391555667844,0.8516177402490781,0.0004892667238788339,0.4272654913431384,0.26670396533043306,6.315789473684211
0.3091877844396476,0.11185692744438315,5.303086456268808,0.06547040311393137,0.07312162731302657,0.5185012704623218,0.0019004391555667813,0.8516177402490779,0.0004892667238788304,0.42726549134313835,0.2667039653304329,6.947368421052631
0.3091877844396476,0.11185692744438311,5.303086456268812,0.06547040311393133,0.0731216273130265,0.5185012704623216,0.0019004391555667813,0.8516177402490781,0.0004892667238788346,0.42726549134313857,0.26670396533043295,7.578947368421052
0.3091877844396473,0.11185692744438315,5.303086456268814,0.06547040311393132,0.07312162731302642,0.5185012704623218,0.0019004391555667783,0.8516177402490781,0.0004892667238788375,0.42726549134313857,0.266703965330433,8.210526315789473
0.3091877844396475,0.11185692744438323,5.303086456268812,0.06547040311393135,0.07312162731302649,0.5185012704623218,0.0019004391555667737,0.851617740249078,0.0004892667238788347,0.42726549134313846,0.26670396533043284,8.842105263157894
0.30918778443964756,0.11185692744438322,5.303086456268811,0.06547040311393137,0.07312162731302652,0.5185012704623218,0.0019004391555667815,0.851617740249078,0.0004892667238788303,0.4272654913431384,0.266703965330433,9.473684210526315
0.3091877844396473,0.11185692744438315,5.30308645626881,0.06547040311393132,0.0731216273130265,0.5185012704623216,0.0019004391555667713,0.8516177402490779,0.0004892667238788277,0.42726549134313846,0.26670396533043295,10.105263157894736
0.3091877844396473,0.11185692744438316,5.30308645626881,0.06547040311393129,0.07312162731302646,0.5185012704623218,0.0019004391555667685,0.8516177402490779,0.0004892667238788327,0.4272654913431384,0.266703965330433,10.736842105263158
0.30918778443964734,0.11185692744438329,5.303086456268809,0.06547040311393135,0.07312162731302656,0.5185012704623218,0.0019004391555667677,0.8516177402490779,0.0004892667238788354,0.4272654913431385,0.26670396533043284,11.368421052631579
0.30918778443964734,0.11185692744438312,5.303086456268812,0.06547040311393125,0.07312162731302649,0.5185012704623216,0.0019004391555667737,0.8516177402490779,0.0004892667238788289,0.42726549134313857,0.2667039653304329,12.0
