Epsilon_XX_nanostrain_FS01,Epsilon_XX_nanostrain_FS02,Epsilon_XX_nanostrain_FS03,Epsilon_XX_nanostrain_FS04,Epsilon_XX_nanostrain_FS05,Epsilon_XX_nanostrain_FS06,Epsilon_YY_nanostrain_FS01,Epsilon_YY_nanostrain_FS02,Epsilon_YY_nanostrain_FS03,Epsilon_YY_nanostrain_FS04,Epsilon_YY_nanostrain_FS05,Epsilon_YY_nanostrain_FS06,Epsilon_ZZ_nanostrain_FS01,Epsilon_ZZ_nanostrain_FS02,Epsilon_ZZ_nanostrain_FS03,Epsilon_ZZ_nanostrain_FS04,Epsilon_ZZ_nanostrain_FS05,Epsilon_ZZ_nanostrain_FS06,Epsilon_XY_nanostrain_FS01,Epsilon_XY_nanostrain_FS02,Epsilon_XY_nanostrain_FS03,Epsilon_XY_nanostrain_FS04,Epsilon_XY_nanostrain_FS05,Epsilon_XY_nanostrain_FS06,Epsilon_XZ_nanostrain_FS01,Epsilon_XZ_nanostrain_FS02,Epsilon_XZ_nanostrain_FS03,Epsilon_XZ_nanostrain_FS04,Epsilon_XZ_nanostrain_FS05,Epsilon_XZ_nanostrain_FS06,Epsilon_YZ_nanostrain_FS01,Epsilon_YZ_nanostrain_FS02,Epsilon_YZ_nanostrain_FS03,Epsilon_YZ_nanostrain_FS04,Epsilon_YZ_nanostrain_FS05,Epsilon_YZ_nanostrain_FS06
0.24735271103813564,0.7298608147657394,0.3677400965234714,-0.23861821949733042,-0.10939176318224432,-0.704823464457053,0.39391649187505207,0.11327003898682173,-0.48537001023293586,0.31156856260186844,0.1781702273245371,1.1526489996780709,-0.3946578772053645,-0.461590964740462,0.05652913839383446,-0.412821261777146,0.04830185480977504,-0.4094476525004632,0.25862312858811304,-0.41816298754961256,-0.7939898663367774,1.0262070909307164,0.19125613682497183,0.9783898548601259,-0.06370014393674989,0.4612160251439877,-0.8313270713214694,0.41615627068275574,0.1443014981745339,0.1685637575712875,0.37696366293795025,-0.3936388733348016,-0.16721338659472443,-0.2856710479481651,0.35937679737815825,-0.2603045543671141
3.195575166873619,0.7951352594405008,1.061470232441285,-0.20741946603003625,2.518957909571575,2.562978728575681,2.8015063877671,0.10388482802558896,2.5832820905783156,1.1198309489463534,2.923527327984832,1.1377623398409438,-2.251071243965423,-0.14859563499921805,-0.7276619027791655,-0.7544653841209257,-1.3754190060736107,-1.5011286597709028,0.749603078888651,0.08337163572301837,-0.7021338943145842,0.4933739167646886,0.3258222358865266,-0.18099157740536462,-0.5001213381476822,0.9653401053934677,0.5334890678169423,-0.7227298313789248,0.7931710949094287,-0.27888681095380125,-0.5266772440142562,0.17605691882338226,0.9104891179531284,-0.3071968782854332,-0.40249083881079417,0.23813094478728725
6.851390119327367,1.8487613304468302,1.8946749053754695,-0.7808612239996032,5.418206116953925,5.374237391234974,7.2072833115420485,-1.8945782187932183,4.959617664701039,2.560072192510114,5.827873634932811,4.476981044810637,-4.136397499394369,-1.851986402548634,-1.3249753465411378,-0.5788793608119116,-3.7510440837557075,-3.1229710921910048,-0.08149445987879256,-0.2939413543680438,-0.8047054140761951,-0.8854730077502406,-0.34533364169832914,-0.7455519953431968,-0.8485413727016893,-0.6674705328022857,0.19584327092124204,-0.05649057077603126,-0.04686468803480415,0.1709462879485694,0.2981261648272971,0.8197588753863271,0.029435520141545435,-0.0860567410695493,0.05830462208958026,-0.9192527519665993
10.551718566093598,2.0132074319581594,2.77845479491995,-0.9405807105317897,6.765283979793046,7.917836096629639,9.064992987412094,-1.549186848701893,6.165312142336431,4.880290254022282,8.457577163565656,5.399760877755825,-6.150678043887241,-0.8669824444794475,-3.7885700605809878,-1.1225717298022437,-3.973419508927753,-5.119885114957328,0.15904214119514373,0.8837535011531672,-1.1875796903840778,-0.6584205751032817,0.981930684251735,-0.4890988655381434,0.028470694197781213,0.3238242696355555,1.0728685417534525,0.23738735274239486,-0.8833509538396794,0.9145073225445592,0.4727001505947106,0.4938177328771583,-0.5104726471520701,-0.37523307088647573,0.7229540038486119,-1.5541403672009357
12.941107752863783,3.3591769327983667,3.1682590114947384,-0.05524156619883114,8.961882836917981,11.009486615395929,13.309687176409732,-2.058758017221277,9.245065254761625,6.075426606411698,9.891026916822218,8.03546548388564,-9.373461271354946,-0.6015866515723305,-3.1673499436113577,-1.9124387765345496,-7.188150904319347,-6.724484805749684,0.28900791009472404,1.1493925503569506,-1.8387560169430879,-1.2016056751669502,0.7188169140190123,-0.8501450946648572,-0.47377897223634446,-0.26603502517758,0.6715443713584768,-1.8714673090734095,-0.3631531343759512,-0.19776490576351885,-0.06395539264943956,0.5584760926231156,0.19503795945214383,-0.4944741709980965,0.030415591778727658,-1.9121772590334567
16.205543672965543,4.593071435811927,4.522196443343127,0.10055075273917102,11.455754601643092,14.063462615451948,17.362605252103645,-2.3458868328214146,11.162212256332278,8.088939215802064,12.754328689025844,10.880369871620506,-11.136249362555166,-1.2161351415029396,-6.259038737184887,-2.3191113502632477,-8.963609693736839,-7.996841867404425,-0.26813471236478076,1.9841726697024227,-1.7081261009260436,-1.2221874796704717,2.043999686435134,-1.1027982441235893,-0.829667224727966,-0.1701144054262667,0.4157467369810961,-1.1976397543833035,-1.404876572910254,-0.2368044839290228,0.5973069006629965,-0.5481938591753682,0.2609554103030933,-0.12136592434196397,1.1538179318752901,-1.1194831455727303
20.372979675866297,4.87223185645275,5.62740764550584,-0.7256517570411833,14.502592371729962,17.573984069505105,19.032902619306743,-3.8982351071551853,13.557355591215716,9.515721146413341,16.12209011318783,12.437725776479867,-13.400122442122402,0.09918497502775214,-6.419916030479673,-2.2167963792926093,-9.454050885251359,-10.455991268694174,0.029590219424396116,2.4613228014777953,-2.9536014490954625,-2.764993667961459,2.2351788576056206,-0.8854708056399001,-0.4676784922344749,-0.208043158739269,0.7669656404732157,-0.6735949440486819,-2.4569379680839845,-0.6612470576893043,-0.7900852896016233,-0.8451450608954939,-0.866871273853588,-0.3362120410170013,0.8388357392640705,-2.343140932850309
23.23315980783565,6.540057540593206,7.359351804254356,-0.30502039943395454,16.55157679943763,19.494091766547033,22.4985254149889,-4.486862689333103,16.283880161081317,10.79046857299326,18.765736962963004,13.936641864226612,-15.682888729645395,-1.5448521445006396,-7.1087497798724995,-3.6231424510178925,-11.308328109792791,-12.058242646032342,-0.08939931427210554,3.607283592263088,-2.896510162244563,-2.323591682249506,1.9266850653620047,-1.0126421887055266,-0.7085697627512679,-0.3287997455385843,1.864298838568283,-1.2222369810099558,-2.1843344173534,-0.9277818017126087,-1.092025160453042,-0.47370670880116833,0.5284343920965497,0.504843223914918,0.9316120694809028,-1.1159189968613674
25.88163404846662,6.961430243568834,7.9801751562347825,-0.7396362918481776,18.465180781162825,22.307861120474293,26.08451471702441,-4.1164324457496635,17.408452431440146,11.951727680116697,21.410634261189028,16.184748826217195,-16.672322841917477,-1.1707590119905107,-8.319179430784022,-3.5316180366746073,-13.063554873327178,-13.337605605454465,-0.06069665661407187,3.5281379449091546,-3.169362068498798,-2.518905286046463,2.480933594262154,-1.8525942889378628,0.6458934746701571,0.14010399777748775,2.2325973372090626,-1.0964630697565962,-2.8542756197643184,-0.16317163907623272,-1.4254372603108956,-0.44204175474208884,0.5198248775977621,-1.599109927596932,1.6320590706076352,-3.310775415221112
29.650032654768157,8.022844906793663,7.907238238995642,-1.3559438860155004,21.325709290106865,24.914985107190706,29.038532058159518,-4.775499506423064,19.346637585438344,13.165728281976023,25.716996284992906,18.946998328420033,-19.543743227739487,-1.0054739366284111,-9.826586242601907,-4.380255535516507,-14.733244671614806,-14.708607709705479,-0.5079462047668806,3.1494184583475877,-3.3767457629165234,-4.302538085409478,2.5514664937266653,-2.073713253248903,0.2204880369332864,-0.28336090386873203,1.9158391393301586,-1.7422175590477362,-2.338041215689711,-1.075054061767506,0.13786416588630934,0.016367807357590358,1.0608737771660783,0.22968787670370272,1.6590020905987217,-1.7134750465771376
32.41350563710261,8.776032213190252,9.922712698457353,-0.9696867828471918,23.459579604316712,26.769002555381466,31.7714169197221,-5.345694892114121,21.47035428779022,15.244410768372777,26.7269807216934,20.312486403288954,-22.567242670818313,-0.47181082118553797,-10.677524290215153,-4.863476053512074,-16.724039622852214,-16.06997013160393,-0.12446597660783196,3.371169027007512,-3.6822147651511434,-4.396708403886154,3.389822194999606,-2.122490186993719,-0.24680258780311215,0.2796081633675851,2.947081546022778,-1.5584871204926642,-2.3941560978532554,-0.685187330346009,-0.34873248918277666,-1.4300495367436403,1.7142709089324617,0.2717913197972261,1.4177676239049055,-2.73744346292095
