time_s,eXX_S1,eXX_S2,eXX_S3,eXX_S4,eYY_S1,eYY_S2,eYY_S3,eYY_S4,eXY_S1,eXY_S2,eXY_S3,eXY_S4,eZZ_S1,eZZ_S2,eZZ_S3,eZZ_S4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,-0.0013723439343605265,0.007573074420864828,0.011192392610853759,0.007166113994824499,0.005042022561444012,-0.0010448712870920482,0.0015434377500558136,0.01427348791176065,-0.0007645465240755527,-0.00013424971215835987,0.0002355951039285091,-0.0021381970596239105,-0.0008043260477551856,-0.0030237583242018755,-0.008739146492655985,-0.01718036618147238
50.0,-0.002744687868721053,0.015146148841729656,0.022384785221707518,0.014332227989648998,0.010084045122888024,-0.0020897425741840964,0.0030868755001116272,0.0285469758235213,-0.0015290930481511053,-0.00026849942431671973,0.0004711902078570182,-0.004276394119247821,-0.0016086520955103712,-0.006047516648403751,-0.01747829298531197,-0.03436073236294476
75.0,-0.004117031803081579,0.022719223262594488,0.033577177832561284,0.02149834198447351,0.01512606768433204,-0.0031346138612761434,0.004630313250167442,0.04282046373528194,-0.002293639572226656,-0.0004027491364750797,0.0007067853117855277,-0.006414591178871733,-0.0024129781432655558,-0.009071274972605625,-0.026217439477967935,-0.05154109854441716
100.0,-0.005489375737442106,0.030292297683459313,0.044769570443415035,0.028664455979297995,0.02016809024577605,-0.004179485148368193,0.0061737510002232545,0.0570939516470426,-0.0030581860963022106,-0.0005369988486334395,0.0009423804157140364,-0.008552788238495642,-0.0032173041910207425,-0.012095033296807502,-0.03495658597062394,-0.06872146472588953
7444.897959183673,-0.40867842224875084,2.255230652025703,3.333048836277103,2.1340394982138595,1.5014937391141039,-0.3111584045152486,0.45962946222070267,4.250586440987986,-0.227678834271642,-0.03997901632275075,0.0701592603372409,-0.6367463570210636,-0.23952501405803414,-0.9004628870766072,-2.6024821555272664,-5.11624292489888
14789.795918367348,-0.8118674687600594,4.480169006367949,6.621328102110791,4.239414540448419,2.9828193879824316,-0.6181373238821287,0.9130851734411822,8.44407893032893,-0.4522994824469822,-0.07942103379686818,0.13937614025876788,-1.2649399258036316,-0.4758327239250477,-1.7888307408564077,-5.1700077250839085,-10.163764385071863
22134.69387755102,-1.2150565152713697,6.7051073607102,9.909607367944476,6.344789582682976,4.464145036850758,-0.9251162432490087,1.366540884661661,12.63757141966987,-0.6769201306223217,-0.11886305127098551,0.20859302018029482,-1.8931334945861982,-0.7121404337920608,-2.677198594636207,-7.737533294640547,-15.211285845244856
29479.591836734693,-1.6182455617826774,8.930045715052447,13.197886633778158,8.450164624917546,5.945470685719084,-1.2320951626158876,1.819996595882141,16.831063909010794,-0.9015407787976619,-0.15830506874510297,0.2778099001018215,-2.521327063368767,-0.9484481436590745,-3.5655664484160057,-10.305058864197209,-20.25880730541785
36824.489795918365,-2.021434608293985,11.154984069394684,16.486165899611848,10.55553966715211,7.4267963345874115,-1.5390740819827706,2.2734523071026205,21.02455639835175,-1.1261614269730014,-0.19774708621922008,0.3470267800233485,-3.1495206321513334,-1.1847558535260874,-4.4539343021958056,-12.87258443375384,-25.306328765590813
